country,iso3,entity_list_count,entity_list_entities,bis_tier,bis_tier_history,ofac_programs,eu_sanctions,caatsa_status,secondary_sanctions_risk,chinese_retaliation,sanctions_evasion_risk,last_updated,confidence,source_name,source_url,rationale
United Arab Emirates,ARE,RESEARCH_NEEDED,HAS General Trading LLC; Smart Mail Services; 3 unnamed UAE entities (Oct 2024 BIS rule); 1 UAE entity (Oct 2025 BIS rule),"Country Group A:5 (favorable, entity-specific licensing)","Previously Country Group D:3/D:4; upgraded to A:5 on 2026-07-10 under a new Advanced Computing Items exception naming G42, Core42, and eight US AI firms as approved end users (not unconditional national access).",None (no UAE country-level program; individual/entity-specific Iran-sanctions-evasion designations against UAE-based actors exist),No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.cmtradelaw.com/2025/09/bis-announces-addition-of-32-entities-to-the-entity-list-including-for-exports-to-russia/ ; https://www.internationaltradeinsights.com/2025/10/bis-adds-29-entities-and-addresses-in-china-turkey-and-the-uae-to-entity-list/,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Saudi Arabia,SAU,RESEARCH_NEEDED,RESEARCH_NEEDED,Country Group D:3/D:4 (standard licensing) with a bespoke capped entity authorization,"On 2025-11-19 Commerce authorized HUMAIN to purchase up to the equivalent of 35,000 Nvidia GB300-class accelerators, subject to security/reporting conditions -- entity-specific, not a Country Group upgrade like the UAE's.","None (country level); Global Magnitsky Act designations of individual Saudi officials over the Khashoggi killing (2018, expanded Feb 2021)",No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://home.treasury.gov/news/press-releases/sm547 ; https://ofac.treasury.gov/recent-actions/20210226,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Qatar,QAT,RESEARCH_NEEDED,RESEARCH_NEEDED,Country Group D:4 (standard case-by-case licensing),No disclosed bilateral chip framework or Country Group upgrade on file.,None (country level),No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://ofac.treasury.gov/sanctions-programs-and-country-information,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Kuwait,KWT,RESEARCH_NEEDED,RESEARCH_NEEDED (no Kuwait-destination entity found in this search pass),Country Group D:4 (standard case-by-case licensing),No disclosed bilateral chip framework or Country Group upgrade on file.,None (country level),No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://ofac.treasury.gov/sanctions-programs-and-country-information,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Bahrain,BHR,RESEARCH_NEEDED,"Marzoghi, Ltd.; Mohammed Marzoghi (individual)",Country Group D:4 (standard case-by-case licensing),No disclosed bilateral chip framework or Country Group upgrade on file.,None (country level); targeted designations of Iran-linked financial operatives based in Bahrain,No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.federalregister.gov/documents/2019/11/13/2019-24635 ; https://iranprimer.usip.org/blog/2024/mar/12/us-sanctions-irans-bahrain-allies,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Oman,OMN,RESEARCH_NEEDED,"Safe Technical Supply Co., LLC (listed 2019, later removed from the Entity List)",Country Group D:4 (standard case-by-case licensing),No disclosed bilateral chip framework or Country Group upgrade on file.,None (country level),No,None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.federalregister.gov/documents/2019/11/13/2019-24635,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Turkey,TUR,RESEARCH_NEEDED,TGB Aviation; Atempo Proje Taahhut; EB Teknoloji Sistemleri; Atlas Trade Dis Ticaret; Aviatech Havacilik; B2M Lojistik; DML Group Makine; Madena Otomotiv; Mia Antalya Insaat; RLY Ic Ve Dis Ticaret; TDT Havacilik Bakim; Ultimate Havacilik Hizmetleri; Yildiz Cip Teknoloji,"Country Group B (NATO ally, standard licensing) with a CAATSA compliance overlay","NATO ally status gives baseline favorable licensing, but the 2020 CAATSA Section 231 designation over the S-400 purchase complicates trust in practice -- see caatsa_status.","None (no country-level OFAC program; Halkbank criminally indicted/sanctions-adjacent for Iran-sanctions evasion, separate from a formal country program)","Yes -- EU Eastern Mediterranean unauthorised-drilling sanctions regime (Council Decision (CFSP) 2019/1894), renewed through 30 Nov 2026 (designee list currently empty)",CAATSA Section 231 sanctions imposed 14 Dec 2020 on Turkey's Presidency of Defense Industries (SSB) and four SSB officials over the S-400 purchase from Russia -- the first CAATSA 231 action against a NATO ally,Moderate,None disclosed,Low,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://2017-2021.state.gov/caatsa-section-231-imposition-of-sanctions-on-turkish-presidency-of-defense-industries/ ; https://www.consilium.europa.eu/en/press/press-releases/2025/12/08/statement-by-the-high-representative-on-behalf-of-the-eu-on-the-alignment-of-certain-countries-concerning-restrictive-measures-in-view-of-turkiye-s-unauthorised-drilling-activities-in-the-eastern-mediterranean/,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Israel,ISR,RESEARCH_NEEDED,NSO Group; Candiru,Formal multilateral AI-supply-chain framework ('Pax Silica'),"Elevated access via a Dec 2025 multilateral chip-supply declaration, short of a confirmed unconditional BIS Country Group upgrade.",None (country level),"Partial -- no country-level regime, but the EU Global Human Rights Sanctions Regime has targeted individual Israeli settlers/settler organizations (7 designated per a 11 May 2026 political agreement -- Regavim, HaShomer Yosh, Nachala, Amana among them; formal legal adoption pending technical finalization as of the search date)",None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.commerce.gov/news/press-releases/2021/11/commerce-adds-nso-group-and-other-foreign-companies-entity-list ; https://www.euronews.com/my-europe/2026/05/11/eu-approves-sanctions-on-israeli-settlers-after-hungarian-backing,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Egypt,EGY,RESEARCH_NEEDED,1 unnamed Egyptian entity (21 Oct 2024 BIS rule),Country Group D:1/D:4 (excluded from A:5/A:6 favorable groups),No bilateral chip framework; standard case-by-case EAR licensing.,None (country level),No (the 2011 Mubarak-era asset-freeze framework was revoked by the Council on 12 Mar 2021),"None on file -- CAATSA 231 sanctions were explicitly threatened by the State Department in 2019 over Egypt's planned Su-35 purchase from Russia, but never formally imposed; the deal was reportedly abandoned by 2020-2022",RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.consilium.europa.eu/en/press/press-releases/2021/03/12/egypt-eu-revokes-sanctions-framework-and-delists-9-people/ ; https://www.washingtoninstitute.org/policy-analysis/understanding-egyptian-militarys-perspective-su-35-deal,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
Jordan,JOR,RESEARCH_NEEDED,The Jordanian Lebanese Company for Laboratory Instruments S.A.L,Country Group D:4 (standard case-by-case licensing),No disclosed bilateral chip framework on file.,None (country level),No (a single Jordanian company was individually sanctioned in 2020 for breaching the UN/EU Libya arms embargo -- not a Jordan country-level regime),None on file,RESEARCH_NEEDED,None disclosed,RESEARCH_NEEDED,2026-09-03,Medium,WebSearch research pass (this session) -- OFAC/EU/CAATSA/BIS official sources and reputable secondary reporting; see source_url for the specific citations used,https://www.federalregister.gov/documents/2019/11/13/2019-24635,"bis_tier reused from this project's own already-cited export_control_tier.csv. entity_list_count is RESEARCH_NEEDED for every one of the 17 tracked countries: no source found (BIS's own site, the trade.gov Consolidated Screening List, or reputable secondary trackers) publishes a live, queryable per-country tally of the BIS Entity List -- it is a rolling list built from decades of individual Federal Register rules, not a country-indexed database. Where a specific named entity was found via a real source, it is listed in entity_list_entities as a partial, non-exhaustive record rather than a claimed complete list. OFAC/EU/CAATSA fields are real WebSearch findings from this session, not estimates -- see source_url. Update quarterly from BIS, OFAC, and EU official sources."
